data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,nuovi_casi,totale_casi
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014014,Castello dell'Acqua,643,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014015,Castione Andevenno,1562,0,3
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014016,Cedrasco,455,0,2
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014017,Cercino,754,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014018,Chiavenna,7297,1,11
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014019,Chiesa in Valmalenco,2591,1,7
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014020,Chiuro,2524,0,7
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014021,Cino,373,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014022,Civo,1114,1,3
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014023,Colorina,1460,0,2
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014024,Cosio Valtellino,5400,1,9
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014025,Dazio,424,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014026,Delebio,3173,0,9
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014027,Dubino,3551,1,10
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014028,Faedo Valtellino,545,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014029,Forcola,835,0,2
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014030,Fusine,611,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014031,Gerola Alta,189,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014032,Gordona,1903,0,10
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014033,Grosio,4619,0,11
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014034,Grosotto,1615,1,3
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014036,Lanzada,1372,0,7
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014037,Livigno,5976,3,23
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014038,Lovero,667,1,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014035,Madesimo,540,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014039,Mantello,732,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014040,Mazzo di Valtellina,1041,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014041,Mello,1001,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014043,Mese,1747,0,2
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014044,Montagna in Valtellina,3031,0,11
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014045,Morbegno,11786,7,25
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014046,Novate Mezzola,1814,0,5
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014047,Pedesina,30,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014048,Piantedo,1321,1,2
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014049,Piateda,2309,1,6
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014050,Piuro,1950,0,6
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014051,Poggiridenti,1865,0,5
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014052,Ponte in Valtellina,2304,0,7
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014053,Postalesio,659,2,2
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014054,Prata Camportaccio,2921,0,4
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014055,Rasura,292,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014056,Rogolo,564,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014057,Samolaco,2884,0,3
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014058,San Giacomo Filippo,395,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014059,Sernio,500,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,0,16
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014061,Sondrio,21642,6,76
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014062,Spriana,101,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014063,Talamona,4768,1,18
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014064,Tartano,190,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014065,Teglio,4654,2,18
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014066,Tirano,9073,0,39
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014067,Torre di Santa Maria,824,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014068,Tovo di Sant'Agata,624,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014069,Traona,2536,0,2
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014070,Tresivio,2002,0,4
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014071,Valdidentro,4045,0,16
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014072,Valdisotto,3533,1,13
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014073,Valfurva,2703,0,20
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014074,Val Masino,939,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014075,Verceia,1093,1,5
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014076,Vervio,209,0,0
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014077,Villa di Chiavenna,1030,0,1
2020-04-03T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014078,Villa di Tirano,2957,0,11
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014001,Albaredo per San Marco,349,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014002,Albosaggia,3146,2,5
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014003,Andalo Valtellino,552,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014004,Aprica,1588,0,5
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014005,Ardenno,3270,0,9
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014006,Bema,130,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014007,Berbenno di Valtellina,4308,3,11
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014008,Bianzone,1273,0,13
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014009,Bormio,4036,0,26
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014010,Buglio in Monte,2091,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014011,Caiolo,1035,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014012,Campodolcino,1037,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014013,Caspoggio,1500,1,12
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014014,Castello dell'Acqua,643,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014015,Castione Andevenno,1562,0,3
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014016,Cedrasco,455,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014017,Cercino,754,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014018,Chiavenna,7297,0,11
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014019,Chiesa in Valmalenco,2591,0,7
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014020,Chiuro,2524,0,7
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014021,Cino,373,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014022,Civo,1114,0,3
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014023,Colorina,1460,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014024,Cosio Valtellino,5400,1,10
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014025,Dazio,424,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014026,Delebio,3173,0,9
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014027,Dubino,3551,0,10
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014028,Faedo Valtellino,545,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014029,Forcola,835,1,3
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014030,Fusine,611,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014031,Gerola Alta,189,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014032,Gordona,1903,0,10
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014033,Grosio,4619,0,11
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014034,Grosotto,1615,1,4
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014036,Lanzada,1372,0,7
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014037,Livigno,5976,1,24
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014038,Lovero,667,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014035,Madesimo,540,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014039,Mantello,732,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014040,Mazzo di Valtellina,1041,1,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014041,Mello,1001,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014043,Mese,1747,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014044,Montagna in Valtellina,3031,0,11
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014045,Morbegno,11786,0,25
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014046,Novate Mezzola,1814,0,5
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014047,Pedesina,30,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014048,Piantedo,1321,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014049,Piateda,2309,0,6
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014050,Piuro,1950,0,6
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014051,Poggiridenti,1865,0,5
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014052,Ponte in Valtellina,2304,0,7
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014053,Postalesio,659,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014054,Prata Camportaccio,2921,0,4
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014055,Rasura,292,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014056,Rogolo,564,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014057,Samolaco,2884,0,3
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014058,San Giacomo Filippo,395,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014059,Sernio,500,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,1,17
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014061,Sondrio,21642,4,80
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014062,Spriana,101,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014063,Talamona,4768,0,18
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014064,Tartano,190,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014065,Teglio,4654,0,18
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014066,Tirano,9073,1,40
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014067,Torre di Santa Maria,824,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014068,Tovo di Sant'Agata,624,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014069,Traona,2536,0,2
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014070,Tresivio,2002,1,5
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014071,Valdidentro,4045,0,16
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014072,Valdisotto,3533,1,14
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014073,Valfurva,2703,0,20
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014074,Val Masino,939,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014075,Verceia,1093,0,5
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014076,Vervio,209,0,0
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014077,Villa di Chiavenna,1030,0,1
2020-04-04T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014078,Villa di Tirano,2957,0,11
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014001,Albaredo per San Marco,349,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014002,Albosaggia,3146,0,5
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014003,Andalo Valtellino,552,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014004,Aprica,1588,0,5
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014005,Ardenno,3270,2,11
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014006,Bema,130,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014007,Berbenno di Valtellina,4308,2,13
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014008,Bianzone,1273,1,14
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014009,Bormio,4036,0,26
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014010,Buglio in Monte,2091,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014011,Caiolo,1035,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014012,Campodolcino,1037,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014013,Caspoggio,1500,0,12
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014014,Castello dell'Acqua,643,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014015,Castione Andevenno,1562,1,4
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014016,Cedrasco,455,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014017,Cercino,754,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014018,Chiavenna,7297,0,11
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014019,Chiesa in Valmalenco,2591,0,7
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014020,Chiuro,2524,0,7
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014021,Cino,373,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014022,Civo,1114,0,3
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014023,Colorina,1460,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014024,Cosio Valtellino,5400,4,14
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014025,Dazio,424,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014026,Delebio,3173,0,9
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014027,Dubino,3551,2,12
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014028,Faedo Valtellino,545,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014029,Forcola,835,0,3
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014030,Fusine,611,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014031,Gerola Alta,189,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014032,Gordona,1903,0,10
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014033,Grosio,4619,3,14
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014034,Grosotto,1615,0,4
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014036,Lanzada,1372,0,7
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014037,Livigno,5976,0,24
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014038,Lovero,667,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014035,Madesimo,540,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014039,Mantello,732,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014040,Mazzo di Valtellina,1041,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014041,Mello,1001,1,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014043,Mese,1747,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014044,Montagna in Valtellina,3031,0,11
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014045,Morbegno,11786,5,30
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014046,Novate Mezzola,1814,0,5
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014047,Pedesina,30,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014048,Piantedo,1321,2,4
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014049,Piateda,2309,1,7
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014050,Piuro,1950,0,6
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014051,Poggiridenti,1865,0,5
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014052,Ponte in Valtellina,2304,1,8
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014053,Postalesio,659,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014054,Prata Camportaccio,2921,0,4
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014055,Rasura,292,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014056,Rogolo,564,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014057,Samolaco,2884,1,4
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014058,San Giacomo Filippo,395,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014059,Sernio,500,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,1,18
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014061,Sondrio,21642,7,87
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014062,Spriana,101,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014063,Talamona,4768,1,19
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014064,Tartano,190,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014065,Teglio,4654,0,18
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014066,Tirano,9073,1,41
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014067,Torre di Santa Maria,824,1,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014068,Tovo di Sant'Agata,624,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014069,Traona,2536,0,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014070,Tresivio,2002,0,5
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014071,Valdidentro,4045,5,21
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014072,Valdisotto,3533,1,15
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014073,Valfurva,2703,0,20
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014074,Val Masino,939,0,1
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014075,Verceia,1093,0,5
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014076,Vervio,209,0,0
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014077,Villa di Chiavenna,1030,1,2
2020-04-06T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014078,Villa di Tirano,2957,1,12
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014001,Albaredo per San Marco,349,0,0
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014002,Albosaggia,3146,0,5
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014003,Andalo Valtellino,552,0,1
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014004,Aprica,1588,0,5
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014005,Ardenno,3270,0,11
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014006,Bema,130,0,1
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014007,Berbenno di Valtellina,4308,1,14
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014008,Bianzone,1273,0,14
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014009,Bormio,4036,0,26
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014010,Buglio in Monte,2091,0,2
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014011,Caiolo,1035,0,2
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014012,Campodolcino,1037,0,2
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014013,Caspoggio,1500,0,12
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014014,Castello dell'Acqua,643,0,0
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014015,Castione Andevenno,1562,0,4
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014016,Cedrasco,455,0,2
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014017,Cercino,754,0,1
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014018,Chiavenna,7297,3,14
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014019,Chiesa in Valmalenco,2591,0,7
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014020,Chiuro,2524,0,7
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014021,Cino,373,0,1
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014022,Civo,1114,1,4
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014023,Colorina,1460,0,2
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014024,Cosio Valtellino,5400,0,14
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014025,Dazio,424,0,1
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014026,Delebio,3173,0,9
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014027,Dubino,3551,1,13
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014028,Faedo Valtellino,545,0,0
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014029,Forcola,835,0,3
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014030,Fusine,611,0,1
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014031,Gerola Alta,189,0,0
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014032,Gordona,1903,0,10
2020-04-07T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014033,Grosio,4619,0,14
